|id                  |asig_new            |division_id         |depto_id            |asig_id                                                                                             |p15        |p15_just                                                                                            |
|--------------------|--------------------|--------------------|--------------------|----------------------------------------------------------------------------------------------------|-----------|----------------------------------------------------------------------------------------------------|
|1                   |57                  |6                   |4                   |EDIFICACION                                                                                         |1          |Así lo pensé y estoy de acuerdo con el programa de estudio de Edificación                           |
|2                   |57                  |6                   |4                   |EDIFICACION                                                                                         |2          |DEBEMOS INLCUIR TEMAS DE CONTRATOS DE OBRA , FIANZAS , TRATOS CON SINDICAT0S Y DEPENDENCIAS         |
|3                   |57                  |6                   |4                   |EDIFICACION                                                                                         |1          |En mi desempeño profesional del dia a dia, confirmo que el programa es vigente y adecuado           |
|4                   |57                  |6                   |4                   |EDIFICACION                                                                                         |1          |Considero que el temario cubre las mayoría de los temas que se deben ver en la asignatura           |
|5                   |61                  |6                   |4                   |RECURSOS DE LA CONSTRUCCION                                                                         |1          |Considero que se cubre lo que el alumno debe conocer, manejar y aplicar en su vida profesional.     |
|6                   |61                  |6                   |4                   |RECURSOS DE LA CONSTRUCCION                                                                         |2          |Falta el tema interpretación de planos.                                                             |
|7                   |61                  |6                   |4                   |RECURSOS DE LA CONSTRUCCION                                                                         |2          |Los temas en línea requirieron más tiempo comprados con los impartidos en forma presencial          |
|8                   |61                  |6                   |4                   |RECURSOS DE LA CONSTRUCCION                                                                         |1          |Los temas que indica el curso son los necesario para esta materia.                                  |
|9                   |61                  |6                   |4                   |RECURSOS DE LA CONSTRUCCION                                                                         |1          |                                                                                                    |
|10                  |60                  |6                   |4                   |PROCEDIMIENTOS CONTRUCTIVOS DE ELEMENTOS ESTRUCT                                                    |2          |Los temas dados en línea requieren más tiempo que si se dan de forma presencial.                    |
|11                  |60                  |6                   |4                   |PROCEDIMIENTOS CONTRUCTIVOS DE ELEMENTOS ESTRUCT                                                    |2          |Sin comentario                                                                                      |
|12                  |62                  |6                   |4                   |PROGRAMACION Y PRESUPUESTACIÓN                                                                      |1          |Considero que se cubre lo que el alumno debe conocer, manejar y aplicar en su vida profesional.     |
|13                  |62                  |6                   |4                   |PROGRAMACION Y PRESUPUESTACIÓN                                                                      |2          |Es muy extenso y poco tiempo para cubrirlo ampliamente                                              |
|14                  |62                  |6                   |4                   |PROGRAMACION Y PRESUPUESTACIÓN                                                                      |1          |Se cubres los temas necesarios para la materia.                                                     |
|15                  |62                  |6                   |4                   |PROGRAMACION Y PRESUPUESTACIÓN                                                                      |1          |                                                                                                    |
|16                  |58                  |6                   |4                   |MOVIMIENTO DE TIERRAS                                                                               |2          |Considero que se podría ampliar el capítulo de obras subterráneas                                   |
|17                  |58                  |6                   |4                   |MOVIMIENTO DE TIERRAS                                                                               |2          |el programa de estudios considera prácticas de laboratorio y visitas a lugares donde se estén ejecut|
|18                  |58                  |6                   |4                   |MOVIMIENTO DE TIERRAS                                                                               |2          |Para este curso es necesario tener cussado las materias de mecanica de suelos por la importancia y g|
|19                  |58                  |6                   |4                   |MOVIMIENTO DE TIERRAS                                                                               |2          |Para este curso es necesario tener cursado las materias de mecánica de suelos por la importancia y g|
|20                  |56                  |6                   |4                   |ADMINISTRACION EN INGENIERIA                                                                        |2          |Considero que puede mejorar                                                                         |
|21                  |56                  |6                   |4                   |ADMINISTRACION EN INGENIERIA                                                                        |2          |Necesita una pequeña actualización                                                                  |
|22                  |56                  |6                   |4                   |ADMINISTRACION EN INGENIERIA                                                                        |2          |Necesita una pequeña actualización                                                                  |
|23                  |56                  |6                   |4                   |ADMINISTRACION EN INGENIERIA                                                                        |1          |Considero es adecuado en los temas y horas asignadas                                                |
|24                  |59                  |6                   |4                   |PREPARACION DE CONCURSO DE OBRA PUBLICA                                                             |1          |                                                                                                    |
|25                  |63                  |6                   |4                   |LAB. MOVIMIENTO DE TIERRAS                                                                          |1          |si el programa trata temas que son acorde a la materia que se imparte                               |
|26                  |66                  |6                   |5                   |DISEÑO ESTRUCTURAL                                                                                  |2          |FALTARIAN PRACTICAS PRESENCIALES A OBRAS EN EJECUCION                                               |
|27                  |66                  |6                   |5                   |DISEÑO ESTRUCTURAL                                                                                  |1          |SE CUBREN TODOS LOS TEMAS                                                                           |
|28                  |66                  |6                   |5                   |DISEÑO ESTRUCTURAL                                                                                  |1          |La asignatura contiene los temas que deben tratarse para el desarrollo de proyectos de diseño       |
|29                  |66                  |6                   |5                   |DISEÑO ESTRUCTURAL                                                                                  |2          |El curso debería de estar en el último semestre, para que entreguen un proyecto final más completo  |
